No.,D,H,Q,k,E,Class,HEP,Location,Rock Type
87,11,600,0.25,9.14,3.5,sever,Nathpa Jhakri-HRT India,India,"Quartz mica schist, schistose quartzites, and amphibolites"
88,11,850,0.056,20.4,5,sever,Nathpa Jhakri-HRT India,India,"Quartz mica schist, schistose quartzites, and amphibolites"
89,11,600,0.033,33.33,3,sever,Nathpa Jhakri-HRT India,India,"Quartz mica schist, schistose quartzites, and amphibolites"
90,11,300,0.001,16.5,6,sever,Nathpa Jhakri-HRT India,India,"Quartz mica schist, schistose quartzites, and amphibolites"
91,11,400,0.003,17,6,sever,Nathpa Jhakri-HRT India,India,"Quartz mica schist, schistose quartzites, and amphibolites"
92,11,800,0.194,17.14,3.5,sever,Nathpa Jhakri-HRT India,India,"Quartz mica schist, schistose quartzites, and amphibolites"
93,6.5,300,0.033,10,3,sever,Udhampur rail tunnel,India,"Claystone, silty"
94,6.5,312,0.094,34.67,1.5,mild,Udhampur rail tunnel,India,"Claystone, silty"
95,6.5,280,0.083,29.33,1.5,mild,Udhampur rail tunnel,India,"Claystone, silty"
96,6.5,270,0.125,15.91,2.2,mild,Udhampur rail tunnel,India,"Claystone, silty"
97,6.5,285,0.063,12.8,2.5,sever,Udhampur rail tunnel,India,"Claystone, silty"
98,6.5,280,0.031,11.54,2.6,sever,Udhampur rail tunnel,India,"Claystone, silty claystone"
99,6.5,280,0.042,12.5,2.4,mild,Udhampur rail tunnel,India,"Claystone, silty claystone"
100,6,727,2.287,5.88,1.7,mild,Chenani–Nashri escape tunnel,India,silty  claystone
101,6,736,2.426,7.69,1.3,mild,Chenani–Nashri escape tunnel,India,silty  claystone
102,6,733,2.903,6.25,1.6,mild,Chenani–Nashri escape tunnel,India,silty  claystone
103,6,690,1.65,9.38,1.6,mild,Chenani–Nashri escape tunnel,India,silty  claystone
104,13,577,1.517,11.11,1.8,mild,Chenani–Nashri escape tunnel,India,Siltstone
105,5.4,199.7,0.02,1217.16,4.58,sever,Chameliya hydroelectric project,Nepal,Dolomite
106,5.4,217.5,0.013,1217.16,25.54,sever,Chameliya hydroelectric project,Nepal,Dolomite
107,5.4,252.2,0.01,1523.07,12.5,sever,Chameliya hydroelectric project,Nepal,Brownish
108,5.4,246.3,0.01,1523.07,3.8,sever,Chameliya hydroelectric project,Nepal,Foliated phyllite [50] 
109,5.4,283.9,0.008,1645.38,36.73,sever,Chameliya hydroelectric project,Nepal,Talcose phyllite [50] 
110,5.4,284.5,0.008,1828.98,30.19,sever,Chameliya hydroelectric project,Nepal,Talcose phyllite [50] 
111,5.4,210.8,0.01,1575.72,18.3,sever,Chameliya hydroelectric project,Nepal,Talcose phyllite [50] 
112,5.4,237.7,0.01,1575.72,10.96,sever,Chameliya hydroelectric project,Nepal,Talcose phyllite [50] 
113,5.4,230,0.015,1217.16,9.8,sever,Chameliya hydroelectric project,Nepal,Foliated phyllite [50] 
114,5.4,222.6,0.015,1217.16,1.2,mild,Chameliya hydroelectric project,Nepal,Foliated phyllite [50] 
115,5.4,80,93.5,0,0,minor,Austria (Oetscher unit),Austria,
116,5.4,190,7.45,0,0,minor,Austria (Oetscher unit),Austria,
117,5.4,130,1.53,0,0,minor,Austria (Oetscher unit),Austria, 
